                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.91997,                0.84483,                  1.088,                0.83121,                0.78072,                0.84507,                0.67651,                0.85024,                0.65232,                0.98485,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     33,                0.92212,                 0.8669,                 1.0964,                0.83607,                0.78312,                0.84543,                0.67627,                0.84709,                0.64963,                0.98241,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     34,                0.93649,                0.84236,                 1.0786,                 0.8399,                0.78881,                 0.8512,                0.68002,                0.84073,                0.64429,                0.97919,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                0.93544,                0.81941,                 1.0892,                0.85838,                0.77473,                 0.8519,                0.67809,                0.83327,                 0.6378,                0.97469,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     36,                0.89526,                0.82196,                 1.0679,                0.86687,                0.78209,                 0.8569,                 0.6821,                 0.8303,                0.62907,                 0.9727,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     37,                 0.9097,                0.80444,                 1.0746,                0.87153,                0.77737,                 0.8585,                0.68648,                  0.826,                0.62127,                0.97052,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     38,                0.93333,                0.83345,                 1.0782,                0.86784,                0.77858,                0.86041,                0.68911,                0.82138,                 0.6129,                0.96894,              7.541e-05,              7.541e-05,              7.541e-05
                     39,                 0.9084,                0.81286,                 1.0709,                0.85984,                0.79822,                0.86435,                0.69137,                0.81325,                0.61094,                0.96584,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     40,                0.91339,                0.78838,                 1.0692,                0.85317,                0.80594,                0.86834,                0.69508,                 0.8084,                0.61243,                0.96373,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     41,                0.91364,                0.79359,                 1.0604,                0.85442,                0.80104,                0.86754,                0.69736,                0.80349,                0.60995,                0.96149,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     42,                0.90361,                0.78231,                 1.0678,                0.86232,                0.80191,                0.86917,                 0.6973,                0.79734,                0.60773,                0.95944,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     43,                0.93543,                0.79541,                 1.0644,                0.86073,                0.80193,                0.86426,                0.70029,                 0.7916,                0.59828,                0.95655,              6.952e-05,              6.952e-05,              6.952e-05
                     44,                0.89918,                0.81453,                 1.0761,                0.85568,                0.80337,                0.86473,                0.70076,                0.78598,                0.58998,                0.95503,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     45,                0.90801,                0.79327,                 1.0843,                0.88207,                0.79219,                 0.8676,                0.70415,                 0.7809,                0.58586,                0.95384,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     46,                0.88638,                0.75807,                 1.0542,                0.87843,                0.78998,                 0.8665,                0.70273,                 0.7781,                 0.5894,                0.95339,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     47,                 0.8702,                0.76548,                 1.0524,                 0.8832,                0.79193,                0.86725,                0.70432,                0.77423,                0.59341,                 0.9515,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     48,                0.86408,                 0.7649,                  1.077,                0.88865,                0.78541,                0.86691,                0.70492,                0.77463,                0.59264,                0.95053,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     49,                0.90416,                0.75953,                 1.0499,                0.89616,                0.78432,                0.86723,                0.70935,                0.77516,                0.58923,                0.94968,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     50,                0.89667,                0.78499,                 1.0593,                0.90551,                0.78015,                 0.8683,                 0.7063,                0.77575,                0.58592,                0.94861,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     51,                0.85209,                0.72283,                 1.0495,                0.90382,                0.78212,                0.86848,                0.70743,                0.77327,                0.58176,                0.94775,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     52,                0.87503,                0.74245,                 1.0262,                0.89843,                0.78503,                0.86912,                0.70813,                0.77007,                0.57655,                0.94607,             5.8917e-05,             5.8917e-05,             5.8917e-05
